node_id,max_depth,iteration,latency_ms,total_affected
SS_002,5,6,16.898,20
SS_002,5,7,18.166,20
SS_002,5,8,12.912,20
SS_002,5,9,16.164,20
SS_002,5,10,20.339,20
SS_002,5,11,13.46,20
SS_002,5,12,15.977,20
SS_002,5,13,17.592,20
SS_002,5,14,14.576,20
SS_002,5,15,21.953,20
SS_002,5,16,13.735,20
SS_002,5,17,13.583,20
SS_002,5,18,14.05,20
SS_002,5,19,13.066,20
SS_002,5,20,20.291,20
SS_002,5,21,14.958,20
SS_002,5,22,19.427,20
SS_002,5,23,11.85,20
SS_002,5,24,13.442,20
SS_002,5,25,20.304,20
SS_002,5,26,16.772,20
SS_002,5,27,15.11,20
SS_002,5,28,16.938,20
SS_002,5,29,12.879,20
SS_002,5,30,15.464,20
SS_002,6,1,14.795,25
SS_002,6,2,15.169,25
SS_002,6,3,20.989,25
SS_002,6,4,17.533,25
SS_002,6,5,14.134,25
SS_002,6,6,14.844,25
SS_002,6,7,16.944,25
SS_002,6,8,14.205,25
SS_002,6,9,17.5,25
SS_002,6,10,18.284,25
SS_002,6,11,19.495,25
SS_002,6,12,12.738,25
SS_002,6,13,15.351,25
SS_002,6,14,13.231,25
SS_002,6,15,17.487,25
SS_002,6,16,24.371,25
SS_002,6,17,12.169,25
SS_002,6,18,14.638,25
SS_002,6,19,11.464,25
SS_002,6,20,9.505,25
SS_002,6,21,19.771,25
SS_002,6,22,15.901,25
SS_002,6,23,14.888,25
SS_002,6,24,17.288,25
SS_002,6,25,14.204,25
SS_002,6,26,16.812,25
SS_002,6,27,20.705,25
SS_002,6,28,14.308,25
SS_002,6,29,18.617,25
SS_002,6,30,16.84,25
SS_002,7,1,14.336,25
SS_002,7,2,17.067,25
SS_002,7,3,16.884,25
SS_002,7,4,18.55,25
SS_002,7,5,18.846,25
SS_002,7,6,11.915,25
SS_002,7,7,21.154,25
SS_002,7,8,21.086,25
SS_002,7,9,12.58,25
SS_002,7,10,15.689,25
SS_002,7,11,10.533,25
SS_002,7,12,58.03,25
SS_002,7,13,124.879,25
SS_002,7,14,20.319,25
SS_002,7,15,18.356,25
SS_002,7,16,16.132,25
SS_002,7,17,14.941,25
SS_002,7,18,19.474,25
SS_002,7,19,19.722,25
SS_002,7,20,12.059,25
SS_002,7,21,12.814,25
SS_002,7,22,15.168,25
SS_002,7,23,17.868,25
SS_002,7,24,18.745,25
SS_002,7,25,17.076,25
SS_002,7,26,13.304,25
SS_002,7,27,17.176,25
SS_002,7,28,16.656,25
SS_002,7,29,17.133,25
SS_002,7,30,18.568,25
SS_002,8,1,13.321,25
SS_002,8,2,15.332,25
SS_002,8,3,14.195,25
SS_002,8,4,17.079,25
SS_002,8,5,18.886,25
SS_002,8,6,13.828,25
SS_002,8,7,17.697,25
SS_002,8,8,12.729,25
SS_002,8,9,16.987,25
SS_002,8,10,13.812,25
SS_002,8,11,16.821,25
SS_002,8,12,15.889,25
SS_002,8,13,17.047,25
SS_002,8,14,23.977,25
SS_002,8,15,13.942,25
SS_002,8,16,23.889,25
SS_002,8,17,11.452,25
SS_002,8,18,18.528,25
SS_002,8,19,16.3,25
SS_002,8,20,17.778,25
SS_002,8,21,14.453,25
SS_002,8,22,16.306,25
SS_002,8,23,14.634,25
SS_002,8,24,13.792,25
SS_002,8,25,12.738,25
SS_002,8,26,17.892,25
SS_002,8,27,16.651,25
SS_002,8,28,12.645,25
SS_002,8,29,14.572,25
SS_002,8,30,17.718,25
